timestamp	task	decision	why	evidence	result
2026-08-28T00:00:00+05:30	B2B3 storage logout	clear vc_selected_brand_id	The selected brand is user context and must not cross accounts.	client/src/hooks/use-brand-selection.ts; client/src/lib/clientStorageKeys.ts	Cleared by the user-scoped key registry from localStorage and sessionStorage.
2026-08-28T00:00:00+05:30	B2B3 storage logout	clear vc_visibility_engine	The selected AI engine is user-scoped UI state and must not cross accounts.	client/src/pages/ai-visibility.tsx; client/src/lib/clientStorageKeys.ts	Cleared by the user-scoped key registry from localStorage and sessionStorage.
2026-08-28T00:00:00+05:30	B2B3 storage logout	clear vc_citations_tab	The last citations tab is user-scoped UI state and must not cross accounts.	client/src/pages/citations.tsx; client/src/lib/clientStorageKeys.ts	Cleared by the user-scoped key registry from localStorage and sessionStorage.
2026-08-28T00:00:00+05:30	B2B3 storage logout	clear vc_keywords_filter	The keyword filter is user-scoped UI state and must not cross accounts.	client/src/pages/keyword-research.tsx; client/src/lib/clientStorageKeys.ts	Cleared by the user-scoped key registry from localStorage and sessionStorage.
2026-08-28T00:00:00+05:30	B2B3 storage logout	clear venturecite:pending-verify-email	The value contains a user's email address and must not cross accounts.	client/src/pages/register.tsx; client/src/pages/verify-email.tsx; client/src/lib/clientStorageKeys.ts	Cleared by the user-scoped key registry from localStorage and sessionStorage.
2026-08-28T00:00:00+05:30	B2B3 storage logout	keep vc-theme-v1	The theme is a device preference, not user data, so the browser keeps its appearance across logout.	client/src/lib/theme.ts; client/src/lib/clientStorage.ts	Retained by the explicit device-key rule.
2026-08-28T00:00:00+05:30	B2B3 storage logout	clear internal-page-view	The internal page view is browser session state and must not cross accounts.	client/src/pages/internal-page.tsx; client/src/lib/clientStorageKeys.ts	Cleared by the user-scoped key registry from localStorage and sessionStorage.
2026-08-28T00:00:00+05:30	B2B3 AI logging	keep payload logs off by default	AI prompts and responses can contain brand data. AI_LOG_PAYLOADS=true enables focused debugging.	server/lib/aiLogger.ts	Payload records require the explicit environment flag.
2026-08-28T00:00:00+05:30	B2B3 AI logging	log model roles limits and duration	These fields identify the request shape without exposing the full prompt or response.	server/lib/aiLogger.ts	Pino records include model, roles, limits, and duration.
2026-08-28T00:00:00+05:30	B2B3 AI logging	redact sensitive keys and text patterns	Keys, emails, bearer tokens, API keys, JWTs, and secret assignments must not reach stdout.	server/lib/logger.ts; tests/unit/aiLoggerRedaction.test.ts	Pino sanitizes structured AI payload fields before output.
2026-08-28T00:00:00+05:30	B2B3 AI logging	limit prompt and response text to 2000 characters	The limit keeps an enabled diagnostic record useful without emitting unbounded model content.	server/lib/logger.ts	The aiRequest and aiResponse fields use the 2000-character limit.
2026-08-28T00:00:00+05:30	B2B3 AI logging	keep failure records without payload text	Failures need model and duration diagnostics. Prompt and response bodies are not needed.	server/lib/aiLogger.ts	Warn records include model, duration, and error type only.
2026-08-28T00:00:00+05:30	B2B3 storage completeness	add an AST source scan	The scan covers direct setItem calls and usePersistedState key arguments under both client source roots.	tests/unit/clientStorageCompleteness.test.ts; client/src; src	The focused test finds wrapper keys and reports file, line, and key for violations.
2026-08-28T00:00:00+05:30	B2B3 storage completeness	allow only cleanup-accounted keys	The test accepts the user-scoped registry, the VentureCite prefix, the parsed legacy list, and the retained device list.	tests/unit/clientStorageCompleteness.test.ts; client/src/lib/clientStorage.ts	Unresolved dynamic values report as UNRESOLVED and fail only when obvious user identifiers prove user scope.
2026-08-28T00:00:00+05:30	B2B3 storage completeness	verify the guard with a temporary write	The real page write failed the focused test and passed after removal.	client/src/pages/ai-visibility.tsx; tests/unit/clientStorageCompleteness.test.ts	The red run named vc_temporary_unregistered_key at the page line.
2026-08-28T00:00:00+05:30	B2B3 false tests	replace PreviewParam copied email helper	TourOrchestrator checks user.isAdmin, not an email suffix.	client/src/tours/engine/TourOrchestrator.tsx:152-153; tests/component/PreviewParam.test.tsx	The old test passed with the real gate disabled. The replacement failed with the gate disabled and passed after restoration.
2026-08-28T00:00:00+05:30	B2B3 false tests	replace dashboard copied Day-0 rule	The old rule was removed. The public dashboard hook now reports completed checks as measured.	c426c8e:client/src/pages/home.tsx:471-476; client/src/components/dashboard-panels/useDashboardData.ts:422; tests/unit/dashboardPreDataState.test.ts	The old test passed with hasMeasured forced false. The replacement failed with that break and passed after restoration.
2026-08-28T00:00:00+05:30	B2B3 false tests	keep the existing prompt edit	The prompt file was modified before this task. It is outside the test replacement scope.	git status --short before T2; .audit/B2B3/prompts/T2-fake-tests.txt	The pre-existing file remains unchanged by this task.
